Label,variety,hmotnost (g),vyska (mm),sirka (mm),sirka (mm),Objem,Hustota,Ek,c11,c12,d. area (mm2),id,Fa,k_a,Fb,Fa/Fb,Ft,rear_slope
G03,B217,223.6,70.8,84.2,84.8,278.736208625878,0.802192155451601,0.119,0.251679277842365,0.322926221369047,87.4306194773265,G_03,41.6685046666667,37.8088587382608,60.1108056666667,0.693194912371191,36.9411977009346,-1.50372153307401
G04,B217,191,61.8,83.4,80.6,238.415245737212,0.801123264619268,0.119,0.173170512670891,0.218356923539637,70.7802764613908,,,,,,,
G05,B217,202.5,66.4,82.1,80.2,251.053159478435,0.806602077506992,0.119,0.185544024841519,0.274507561718113,73.8067621784151,G_05,34.7842233333333,31.7796338690282,56.9068046666667,0.611248927735145,40.6985681396226,-6.99462103411588
G06,B217,219.9,67.6,80.2,85.9,270.912738214644,0.811700481303221,0.119,0.166435903730873,0.187029523761324,92.5642309595785,,,,,,,
G07,B217,242.8,70,84.7,85.8,305.015045135406,0.796026307135811,0.119,0.229868206294385,0.253745100790769,102.099803889227,G_07,34.98872,35.5605734380609,58.6212783333333,0.596860406234176,34.2250680359712,-3.9997799537898
G08,B217,253.7,73.5,91.5,84.6,312.738214643932,0.811221616420782,0.119,0.212527514652246,0.261956041080221,76.8073725480111,,,,,,,
G09,B217,199.3,61.7,80.4,815,247.743229689067,0.804461943319838,0.119,0.190575281222105,0.231704420038188,78.3489481376048,G_09,28.0806906666667,38.2505925963445,73.8945406666667,0.380010355478584,46.1777796587678,-0.815655044762212
G10,B217,269.8,69.5,88,87.4,339.919759277833,0.793716730598997,0.119,0.210841649766459,0.245659934561383,79.7137041407297,,,,,,,
G11,B217,232.4,68.2,87.5,81.8,287.562688064193,0.808171607952564,0.119,0.257834869483497,0.318369855689314,80.7752266671659,G_11,35.0652413333333,37.526996187166,50.432836,0.695285931041699,31.5992911723164,-1.51690315776986
G12,B217,202.8,62.5,80,80.1,252.156469408225,0.804262529832936,0.119,0.276695338690604,0.346168462062943,110.994530924205,,,,,,,
G13,B217,210.3,68.9,83.1,77.1,263.390170511535,0.798435262757045,0.119,0.259891532474145,0.291680040167488,93.8733935203046,G_13,36.5969873333333,36.9520582596932,59.7743756666667,0.612252105106331,38.5071338085809,-1.71696643379527
G14,B217,173.7,61.8,76.3,77.2,211.935807422267,0.81958778987222,0.119,0.264045134515178,0.311810595097945,90.8320649073239,,,,,,,
G15,B217,246.2,68.3,88.6,86.2,339.919759277833,0.724288580702272,0.119,0.166435903730873,0.255769566469558,88.3755790145659,G_15,34.6529496666667,39.7798149129788,65.4026516666667,0.529840133138333,40.1161237003745,1.56488330563201
G16,B217,208.8,65.7,81.4,84.4,258.174523570712,0.808755244755245,0.119,0.223937629837565,0.270292428667012,76.9320372835161,,,,,,,
G17,B217,186.5,61.7,81.7,77.3,232.296890672016,0.802851899827288,0.119,0.176586592806176,0.278753931796109,91.3941780285598,G_17,32.691101,35.9113731891511,63.2442223333333,0.516902569023604,39.8090133217391,-0.300597524278071
G18,B217,248.4,687,87.7,82.3,248.044132397192,0.80459649122807,0.119,0.235635712798206,0.287340213733381,99.7290717951685,,,,,,,
G19,B217,197.7,64.2,81.7,82.3,248.044132397192,0.797035584310554,0.119,0.216298825849708,0.261956041080221,89.3019090120902,G_19,34.5566383333333,34.3208324487636,59.0183976666667,0.585523153788548,35.1831511910112,-0.763564105351519
