Label,hmotnost (g),sirka (mm),sirka (mm),vyska (mm),Ek,c11,c12,c21,c22
G05,179.26,73.88,77.5,61.78,0.301,0.17696523586965998,0.25727575634352295,0.1963022787467532,0.3011008487793618
G06,149.83,69.41,69.91,63.54,0.301,0.19192508535282635,0.2878956032683117,0.20519281607831763,0.3145642833661406
G07,238.35,81.66,79.88,79.51,0.301,0.18118203674800748,0.23661897870015688,0.1573162310385115,0.185444875214609
G08,224.49,80.33,75.44,72.7,0.301,0.1573162310385115,0.2401269130377985,0.1199121858770092,0.16913561826265197
G09,179.74,72.7,76.18,65.4,0.301,0.23532524131983362,0.2878956032683117,0.14682315396258436,0.25608670510251436
G10,178.33,76.42,72.44,67.56,0.301,0.17360806781114246,0.2788072984651209,0.2029532174719386,0.27368415719756684
G11,222.61,80.41,78.65,72.92,0.119,0.19619384056455996,0.1751833063505085,0.296050932778998,0.34616846206294305
G12,179.95,74.3,73.26,66.76,0.119,0.26404513451517836,0.266108574579285,0.27244707975674815,0.2916800401674882
G13,222.64,81.66,75.66,78.08,0.119,0.23770086414948496,0.2745075617181131,0.2745075617181131,0.2916800401674882
G14,179.69,76.66,70.44,64.97,0.119,0.27875393179610863,0.26404513451517836,0.2476207076158112,0.27244707975674815
G15,150.85,70.94,65.64,66.08,0.119,0.26823033093441767,0.2745075617181131,0.2317044200381883,0.276695338690604
G16,175.27,74.4,74.21,65.3,0.119,0.20878831452509763,0.25167927784236516,0.22780504601514784,0.20140639716741993
G17,162.6,71.4,69.01,66.67,0.119,0.2809750651283901,0.26823033093441767,0.2317044200381883,0.23563571279820641
G18,133.8,64.5,66.92,61.84,0.119,0.2852862161469115,0.33477030903720006,0.2896287485078018,0.2896287485078018
G19,145.17,67.24,67.93,62.7,0.119,0.2435938964950214,0.25167927784236516,0.2809750651283901,0.3073118156011356
G20,222.93,79.53,81.45,76.17,0.119,0.19619384056455996,0.18906188806031787,0.26823033093441767,0.276695338690604
