Label,Variety,hmotnost (g),sirka (mm),sirka (mm),vyska (mm),Ek,c11,c12,c21,c22
H02,Rumba,169.94,76.98,72.69,59.31,0.301,0.146823154,0.266078612,0.1769652359,0.2813846272
H03,Rumba,200.66,84.05,73.62,66.67,0.301,0.1373649532,0.253615467,0.1845794246,0.2475571953
H04,Rumba,213.93,82.53,78.5,67.35,0.301,0.1578211217,0.2366189787,0.1707267181,0.2800977426
H05,Rumba,202.96,82.67,78.87,61.23,0.301,0.1674107701,0.2673123391,0.1380146456,0.2211843957
H06,Rumba,173.69,77.17,76.58,63.1,0.301,0.1769652359,0.252321924,0.1994391732,0.2957875843
H07,Rumba,193.33,79.86,82.12,58.98,0.301,0.1318331782,0.2329408575,0.1585637607,0.2211843957
H08,Rumba,265.28,88.21,88.56,66.9,0.301,0.1546030885,0.234234363,0.1355090627,0.1845794246
H09,Rumba,193.59,82.35,77.18,60.89,0.301,0.160561705,0.2498612083,0.1449077427,0.2235135497
H10,Rumba,197.32,79.85,80.27,61.82,0.301,0.1985079269,0.2891793425,0.1875935061,0.2957875843
H11,Rumba,221.02,89.81,84.2,60.54,0.119,0.2416646175,0.2661085746,0.2337687141,0.2745075617
H12,Rumba,204.09,83.91,82.67,60.63,0.119,0.2787539318,0.3275133424,0.2916800402,0.3183698557
H13,Rumba,221.25,84.42,85.91,62.99,0.119,0.2496867757,0.2537451008,0.2496867757,0.2787539318
H14,Rumba,207.77,85.16,78.29,65.27,0.119,0.205081263,0.1941533699,0.2578348695,0.2619560411
H15,Rumba,213.87,85.66,80.73,63.25,0.119,0.2702924287,0.3093495713,0.2298682063,0.2337687141
H16,Rumba,222.83,84.32,83.5,61.55,0.119,0.2108416498,0.2108416498,0.2661085746,0.2960509328
H17,Rumba,230.8,87.43,83,61.07,0.119,0.2578348695,0.2916800402,0.2221622727,0.2298682063
H18,Rumba,221.11,87.2,82.94,62.88,0.119,0.2377008641,0.2221622727,0.2661085746,0.3138442906
H19,Rumba,185.89,82.65,75.4,58.71,0.119,0.2830314967,0.3004528481,0.2702924287,0.2787539318
H20,Rumba,209.34,82.02,83.45,62.78,0.119,0.2377008641,0.2496867757,0.2537451008,0.2916800402
I01,B273,266,88,86,69,0.301,0.1058031876,0.1004499516,0.1932031579,0.2109933897
