label,apple ID,variety,repetition,area (mm2),r,g,b
H,18,Rumba,2,58.5642977707,206.2455565949,190.6068036267,103.6079189753
H,19,Rumba,1,60.183921494,183.8673877997,162.4726368159,70.5879140881
H,19,Rumba,2,62.8192673987,201.3073125322,186.3954984457,89.3074288944
I,0,B273,1,79.5725706837,195.5523318119,167.117324866,69.7005887412
I,0,B273,2,106.8496193475,214.958964285,191.2855915974,90.3009219956
I,1,B273,1,97.8696332748,201.0050315685,183.6242808197,73.1722153985
I,1,B273,2,104.8658583343,201.7706342661,177.8868962604,70.9674216974
I,2,B273,1,91.8099236146,189.0161112767,166.1425131298,60.7645001491
I,2,B273,2,88.9937463484,190.0849405783,157.3834919884,64.4622598002
I,3,B273,1,62.5359728876,191.4362021789,176.8997330916,79.431300465
I,3,B273,2,74.0410523039,200.8489524188,177.0780291846,82.0851975926
I,4,B273,1,122.0573099513,186.7318049993,154.1171799475,53.9059867422
I,4,B273,2,149.0834151373,212.0529363519,189.0892288983,76.5737022215
I,5,B273,1,131.1136042229,191.4853395558,167.0871258449,63.8852108143
I,5,B273,2,119.0801216971,209.3369135956,179.560973666,64.7055802504
I,6,B273,1,114.9108414221,179.1143200301,142.5259876594,46.1890053268
I,6,B273,2,123.6870040434,190.3433161461,156.7630800699,61.3146290536
I,7,B273,1,127.0219468205,187.3817368871,153.1762353898,50.3050543762
I,7,B273,2,126.5720349206,194.3323399154,158.5111884386,55.2570260731
I,8,B273,1,98.9270140192,188.0219936978,152.6602048203,57.4258644183
I,8,B273,2,88.37162485,194.4208251473,159.3336548193,69.1184259094
I,9,B273,1,110.590704871,187.7757255937,156.8726841489,59.3952639951
I,9,B273,2,102.6427054237,201.0471969137,168.1942563408,76.9162459985
I,10,B273,1,42.4893519651,180.8123228589,166.3491805299,79.5584966112
I,10,B273,2,37.5913416174,196.5816817234,181.4660180681,92.0465601112
I,11,B273,1,60.5882473386,193.3079923717,183.6705270458,91.2144070735
I,11,B273,2,33.8035274631,192.9879700643,184.1410502227,96.3640833746
I,12,B273,1,22.2141168799,180.4398427629,175.8441199869,109.4856567926
I,12,B273,2,30.5948732578,198.2721814771,190.3592358861,109.3393484564
I,13,B273,1,49.5664167055,192.6736383073,171.0418933508,68.4913101463
I,13,B273,2,49.6496521073,188.2708958061,162.3984879841,80.7134560966
I,14,B273,1,44.4837227604,188.7469039883,185.901351415,89.8759947262
I,14,B273,2,35.0413906238,198.8515575998,192.8930139482,97.6297601625
I,15,B273,1,41.296672001,188.4185349752,186.0933604164,99.6763488638
I,15,B273,2,37.8353259296,201.8740074699,202.7891547932,108.7293124914
I,16,B273,1,42.5077697287,180.8844108523,155.1870845438,79.2951400857
I,16,B273,2,58.8753691952,202.572268234,181.9469943895,91.8421765073
I,17,B273,1,44.7684483284,187.3908774227,183.6334369813,85.3306525144
I,17,B273,2,47.5888711742,188.1683730762,180.9488737697,80.3496928463
I,18,B273,1,46.4150333265,187.5991115921,184.5358181695,94.7233759499
I,18,B273,2,23.6722972973,197.8992780419,198.4428596584,114.8374713858
I,19,B273,1,54.6286580337,179.2198004605,158.9018994628,71.6254412893
I,19,B273,2,53.6875881254,184.0117431336,151.4650827091,79.8685822409
J,0,HL862,1,114.592205825,172.838270051,158.4734902337,62.3913031667
J,0,HL862,2,108.6904994147,185.9910364841,170.47060845,72.1162488784
J,1,HL862,1,95.6368405175,171.3721515145,153.2450727434,65.9049890505
